Function				Tests	Docs
--------------------------------------

Promise::constructor	none	none
Promise::then			partial	none
Promise::fulfil			partial	none
Promise::reject			partial	none

Promise.Fulfilled		none	none
Promise.Rejected		none	none

Promise.Of				partial	none

Promise.conjoin			none	none
Promise.disjoin			none	none
