Function			Tests	Docs
-----------------------------------

Stream::add			full	none
Stream::each		full	none
Stream::derive		full	none

Stream.Of			full	none

Steam::map			full	none
Stream::where		full	none
Stream::take		full	none
Stream::drop		full	none
Stream::transition	full	none
Stream::control		full	none
Stream::between		full	none
Stream::accumulate	full	none

Stream.disjoin		full	none
